,average_cost_for_two,cuisines,currency,establishment_types,has_online_delivery,has_table_booking,id,include_bogo_offers,is_book_form_web_view,is_delivering_now,is_table_reservation_supported,is_zomato_book_res,location.address,location.city,location.city_id,location.country_id,location.latitude,location.locality,location.locality_verbose,location.longitude,location.zipcode,medio_provider,mezzo_provider,name,offers,opentable_support,price_range,switch_to_order_menu,user_rating.aggregate_rating,user_rating.custom_rating_text,user_rating.custom_rating_text_background,user_rating.rating_color,user_rating.rating_text,user_rating.rating_tool_tip,user_rating.votes
0,45,"BBQ, Eastern European, Polish",$,[],0,0,17738416,True,0,0,0,0,"1051 Simcoe Street North, Oshawa",Toronto,89,37,43.9258368000,Oshawa,Oshawa,-78.8756374000,,,OTHER,Polish Food Hot and Deli,[],0,2,0,3.4,,,CDD614,Average,,7
0,20,"Eastern European, Deli",$,[],0,0,17738732,True,0,0,0,0,"3878 Bloor Street West, Etobicoke M9B 1L3",Toronto,89,37,43.6405282000,"Bloor Street West, Etobicoke","Bloor Street West, Etobicoke, Toronto",-79.5411207000,M9B 1L3,,OTHER,Vatra Cheese & Deli,[],0,1,0,3.5,,,9ACD32,Good,,6
0,50,"Eastern European, Burger",$,[],0,0,8902887,True,0,0,0,0,"733 Lakeshore Road East, Mississauga L5G 1J7",Toronto,89,37,43.5707400000,"Lakeshore Road East, Mississauga","Lakeshore Road East, Mississauga, Toronto",-79.5654830000,L5G 1J7,,OTHER,The Golden Pheasant,[],0,2,0,3.1,,,CDD614,Average,,9
0,20,"Bakery, Cafe, Eastern European",$,[],0,0,17731438,True,0,0,0,0,"173 Millwick Drive, North York",Toronto,89,37,43.7602140000,"Millwick Drive, North York","Millwick Drive, North York, Toronto",-79.5703070000,,,OTHER,Capri Bagels & Buns Inc,[],0,1,0,3.2,,,CDD614,Average,,0
0,20,"Eastern European, Cafe, Bakery",$,[],0,0,17849890,True,0,0,0,0,"50 Doncaster Avenue, Thornhill",Toronto,89,37,43.8040757000,"Doncaster Avenue, Thornhill","Doncaster Avenue, Thornhill, Toronto",-79.4169347000,,,OTHER,Cakes Royale,[],0,1,0,3.3,,,CDD614,Average,,3
0,25,"Bakery, Eastern European",$,[],0,0,8902576,True,0,0,0,0,"Westmall Bloor Plaza, 290 The West Mall, Etobicoke M9C 1C5",Toronto,89,37,43.6347810000,"The West Mall, Etobicoke","The West Mall, Etobicoke, Toronto",-79.5623170000,M9C 1C5,,OTHER,Pastries & Delicatessen,[],0,1,0,3.3,,,CDD614,Average,,0
0,20,Eastern European,$,[],0,0,8910039,True,0,0,0,0,"Village by the Grange, 109 McCaul Street, Toronto M5T3K5",Toronto,89,37,43.6538111111,Grange Park,Grange Park,-79.3913111111,M5T3K5,,OTHER,Helena's Magic Kitchen,[],0,1,0,3.0,,,CDD614,Average,,8
0,45,Georgian,$,[],0,0,8910981,True,0,0,0,0,"2006 Highway 7, Vaughan",Toronto,89,37,43.8027750000,"Highway 7, Vaughan","Highway 7, Vaughan, Toronto",-79.4918760000,,,OTHER,Aragvi,[],0,2,0,4.5,,,3F7E00,Excellent,,113
0,50,"Georgian, Russian",$,[],0,0,8905721,True,0,0,0,0,"1311 Alness Street, Unit 8, Vaughan",Toronto,89,37,43.7855300000,"Alness Street, Vaughan","Alness Street, Vaughan, Toronto",-79.4805450000,,,OTHER,Suliko,[],0,2,0,3.5,,,9ACD32,Good,,32
0,0,"Cafe, Eastern European, Polish",$,[],0,0,17810114,True,0,0,0,0,"Churchill Crossing, 3055 Dundas Street West, Mississauga",Toronto,89,37,43.5221990000,"Dundas Street West, Mississauga","Dundas Street West, Mississauga, Toronto",-79.6839710000,,,OTHER,Cafe Prego,[],0,1,0,0,,,CBCBC8,Not rated,,2
